RequestMonth,ProviderName,ApiName,ApiVersion,ApiMethod,TotalHits,SuccessCount,ErrorCount,MaxResTimeSec,MinResTimeSec,MedianResTime_Sec,AvgResTime_Sec,RequestLessThan_750_MS,RequestTookMoreThan_750_MSec,RequestLessThan_750_MS_Based_On_SuccessHits,RequestTookMoreThan_750_MS_Based_On_SuccessHits,MAXResponseSize_KB,AVGResponseSize_KB,MINResponseSize_KB
24-Oct,ADCA,ADCustomsIntellectualPropertyManagement,1,SearchImporter,1550,1549,4,2.965,0,0.54,0.51,1479,71,1478,70,104507,51903.06,203
24-Oct,ADCA,ADCustomsIntellectualPropertyManagement,1,SubmitRequestNotOfInfringement,1,1,0,2.554,2.554,2.55,2.55,0,1,0,1,1519,1519,1519
24-Oct,ADCA,ADCustomsLicenseAndRegistration,1,GetReleaseQuestions,13,13,0,0.162,0.061,0.09,0.09,13,0,13,0,1387,1385.38,1380
24-Oct,ADCA,ADCustomsLicenseAndRegistration,1,SearchMOEProducts,353,353,0,5.981,0.059,2.83,2.21,114,239,114,239,3001710,2024941.92,3145
24-Oct,ADCA,ADCustomsLicenseAndRegistration,1,SubmitReqAccessClearingSystem,7,7,0,0.209,0.103,0.14,0.14,7,0,7,0,1147,1104.43,1079
24-Oct,ADCA,ADCustomsLicenseAndRegistration,1,SubmitReqCommAgencyReg,8,8,0,5.541,3.795,4.58,4.6,0,8,0,8,1539,1354.38,1155
24-Oct,ADCA,ADCustomsLicenseAndRegistrationPS,1,SubmitReqReleaseCertificate,6,5,1,1.392,0.253,0.9,0.84,2,4,1,4,2198,1578.5,1347
24-Oct,ADCA,ADCustomsMakasaDeclaration,1,ValidateMaqasaDeclaration,111,111,2,1.908,0,0.16,0.3,98,13,98,13,831,296.05,278
24-Oct,ADCA,ADCustomsPortalServices,1,SaveADCPortalData,6,6,0,0.842,0.461,0.72,0.66,5,1,5,1,199,193.17,181
24-Oct,ADCA,ADCustomsPrivateWarehouseDeclaration,1,GetPWBalances,3804,3804,3,12.382,0,0.14,0.24,3589,215,3589,215,12021,1385.22,594
24-Oct,ADCA,ADCustomsPrivateWarehouseDeclaration,1,GetPWChassisInventory,18,18,0,2.63,0.25,0.44,0.59,15,3,15,3,38596,2393.72,264
24-Oct,ADCA,ADCustomsPrivateWarehouseDeclaration,1,ValidateDeclaration,14,14,0,2.214,0.111,0.16,0.33,13,1,13,1,636,574.07,521
24-Oct,ADCA,ADCustomsPrivateWarehouseDeclaration,1,ValidateEntryEligibility,3,3,0,0.117,0.109,0.11,0.11,3,0,3,0,529,527,525
24-Oct,ADCA,ADCustomsProcessCustBillDeclaration,1,GetMaqasaItems,70,70,0,1.505,0.11,0.22,0.36,60,10,60,10,4269,1044.31,644
24-Oct,ADCA,ADCustomsProcessFreeZoneDeclaration,1,CreateSingleJobFZ,681,677,12,115.199,0,2.73,3.4,42,639,38,639,47567,4363.53,2664
24-Oct,ADCA,ADCustomsProcessFreeZoneDeclaration,1,ValidateDeclaration,218,218,0,5.529,0.088,0.13,0.28,199,19,199,19,702,531.34,521
24-Oct,ADCA,ADCustomsProcessFreeZoneDeclaration,1,ValidateEntryEligibility,501,501,2,6.28,0,0.13,0.29,459,42,459,42,904,544.66,527
24-Oct,ADCA,ADCustomsProcessUtility,1,CreateDraft,496210,495578,1252,113.702,0,0.2,0.43,431040,65170,430504,64975,2952366,19320.28,231
24-Oct,ADCA,ADCustomsProcessUtility,1,GetDeclarationDetails,32727,32727,16,100.345,0,0.17,0.33,29625,3102,29625,3096,724792,4438.91,706
24-Oct,ADCA,ADCustomsProcessUtility,1,GetDraft,1362,1361,4,70.464,0,0.38,0.5,1186,176,1186,174,479492,2972.76,361
24-Oct,ADCA,ADCustomsProcessUtility,1,GetFZChassisInventory,146,146,0,9.871,0.155,1.04,1.63,39,107,39,107,4174657,228052.47,261
24-Oct,ADCA,ADCustomsProcessUtility,1,GetManifestInfo,311,311,0,3.538,0.1,0.15,0.36,278,33,278,33,53959,3327.97,1026
24-Oct,ADCA,ADCustomsProcessUtility,1,UploadAttachment,1838,1809,34,123.971,0,1.54,2.24,61,1777,51,1758,5632758,515315.89,5675
24-Oct,ADCA,ADCustomsProcessUtility,1,ValidateSharedReference,21566,20586,1011,17.163,0,0.11,0.28,19678,1888,18845,1741,2880,325.23,294
24-Oct,ADCA,ADCustomsRefundManagement,1,FetchEligibleChassis,260,252,8,6.624,0.082,0.18,0.89,189,71,182,70,12588,1785,177
24-Oct,ADCA,ADCustomsRefundManagement,1,ValidateEligibilityDutyRefund,443,408,35,3.783,0.061,0.17,0.3,416,27,382,26,12754,1409.59,283
24-Oct,ADCA,ADCustomsRevenue,1,GetBankDetails,21,21,0,0.842,0.057,0.09,0.18,20,1,20,1,729,534.14,320
24-Oct,ADCA,ADCustomsRevenue,1,GetEligibleStatements,41,41,0,1.628,0.06,0.09,0.19,40,1,40,1,643,373.39,362
24-Oct,ADCA,ADCustomsRevenue,1,SubmitAmendFacilitiesStatement,2,2,0,0.414,0.338,0.38,0.38,2,0,2,0,1407,1405,1403
24-Oct,ADCA,ADCustomsRevenue,1,SubmitRegisterBankInformation,3,3,0,2.218,0.927,2.1,1.75,0,3,0,3,1458,1443.33,1423
24-Oct,ADCA,ADCustomsRevenue,1,SubmitRequestOpenFacilitiesAccount,2,2,0,1.911,0.428,1.17,1.17,1,1,1,1,1460,1443.5,1427
24-Oct,ADCA,ADCustomsRevenue,1,ValidateAccountSubmissionForFC,12,12,0,0.242,0.058,0.1,0.13,12,0,12,0,416,274.17,205
24-Oct,ADCA,ADCustomsRevenueBankGuarantee,1,GetEligibleLCTypes,17,17,0,0.841,0.056,0.07,0.14,16,1,16,1,502,409.29,359
24-Oct,ADCA,ADCustomsRevenueBankGuarantee,1,GetLCList,18,18,0,0.648,0.061,0.08,0.15,18,0,18,0,9291,3188.67,382
24-Oct,ADCA,ADCustomsRevenueBankGuarantee,1,SubmitBankGuarantee,7,7,0,1.985,1.709,1.75,1.79,0,7,0,7,1308,1236.57,1155
24-Oct,ADCA,ADCustomsUtilitiesServiceDetails,1,GetCustomsProfileV2,12874,12874,31,7.017,0,0.06,0.09,12714,160,12714,160,10590,1135.41,161
24-Oct,ADCA,ADCustomsUtilitiesServiceDetails,1,GetRequestCharges,1143,1143,0,1.063,0.05,0.06,0.08,1140,3,1140,3,733,604.5,205
24-Oct,ADCA,ADCustomsUtilitiesServiceDetails,1,GetServiceAttachments,8295,8294,7,15.135,0,0.07,0.1,8207,88,8207,87,4414,4076.54,179
24-Oct,ADCA,ADCustomsUtilitiesServiceDetails,1,GetServiceTermsAndConditions,4929,4929,3,54.243,0,0.06,0.1,4867,62,4867,62,2888,1129.92,729
24-Oct,ADCA,ADCustomsValidateVehicleRegistration,1,ValidateVehicleRegistration,94599,94585,193,116.129,0,0.14,1.84,83492,11107,83478,11092,3623,2887.08,351
24-Oct,ADP,ADPConfiscationRelease,1,/GetVehicleConfiscationReleaseOrder,1647,1602,45,22.499,0.075,0.43,1.07,1215,432,1214,388,844,710.63,306
24-Oct,ADP,ADPConfiscationRelease,1,/PerformVehicleConfiscationReleaseOrder,122,120,2,15.328,0.189,0.35,0.72,111,11,111,9,355,310.32,295
24-Oct,ADP,ADPConfiscationRelease,1,/PickVehicleConfiscationReleaseOrder,288,279,9,16.475,0.191,0.29,0.86,253,35,252,27,420,316.82,304
24-Oct,ADP,ADPK9Service,1,/Activities/Insert,1,1,0,1.502,1.502,1.5,1.5,0,1,0,1,327034,327034,327034
24-Oct,ADP,ADPLoadService,1,AddEngLoadAttachmentResponse,6037,6035,3,301.942,0,1.33,2.09,1343,4694,1343,4691,2800207,789990.96,5471
24-Oct,ADP,ADPLoadService,1,CreateEngPermitsResponse,3611,3534,77,116.352,0.087,0.67,1.12,2018,1593,1945,1587,238449,3675.33,816
24-Oct,ADP,ADPLoadService,1,GetEngLoadAttachmentResponse,4390,4382,8,30.085,0.086,0.22,0.43,4019,371,4015,366,1513,1444.49,331
24-Oct,ADP,ADPLoadService,1,GetEngPermitsResponse,6098,6077,22,300.285,0,0.5,1.03,3977,2121,3968,2107,707359,21707.76,261
24-Oct,ADP,ADPLoadService,1,GetLoadReportResponse,2969,2961,8,122.525,0.085,0.89,1.4,1300,1669,1296,1663,104340,19151.66,259
24-Oct,ADP,ADPLoadService,1,SendEngPermitResponse,3449,3445,4,10.547,0.084,0.41,0.61,2699,750,2695,748,453,182.26,182
24-Oct,ADP,ADPPrisonerVisit,1,/CreatePrisonVisit,1245,1207,38,66.486,0.084,0.36,1.09,1003,242,999,207,726,570.15,390
24-Oct,ADP,ADPPrisonerVisit,1,/InsertAccompanyingDetails,267,265,2,15.228,0.194,0.29,0.6,235,32,235,30,306,256.1,202
24-Oct,ADP,ADPPrisonerVisit,1,/UpdatePrisonVisit,60,59,1,63.736,0.19,0.38,2,48,12,48,11,268,232.25,172
24-Oct,ADP,ADPPrisonHold,1,/GetReport,211,210,1,15.303,0.195,0.52,0.73,161,50,161,49,221499,181027.11,179
24-Oct,ADP,ADPPrisonHold,1,/Insert,235,227,8,19.195,0.084,0.33,1.04,201,34,200,27,1220,665.29,516
24-Oct,ADP,ADPPrisonHold,1,/InsertAttachment,188,186,2,19.248,0.26,1.19,1.66,46,142,46,140,2782578,870935.07,44323
24-Oct,ADP,ADPReturnInsuranceService,1,CreateReturnedInsurance,2394,2393,1,24.676,0.155,0.59,1.01,1591,803,1591,800,436,308.48,248
24-Oct,ADP,ADPReturnInsuranceService,1,GetCertificateInformationList,5435,5430,5,307.269,0.12,0.33,0.63,4532,903,4531,898,1433,1302.95,433
24-Oct,ADP,ADPReturnInsuranceService,1,GetInsuredVehicles,7591,7584,7,49.189,0.084,0.76,1.49,3775,3816,3771,3808,906800,17708.74,399
24-Oct,ADP,ADPReturnInsuranceService,1,GetReturnedInsuranceCertificates,5417,5415,2,35.263,0.146,0.38,0.61,4190,1227,4190,1220,49420,4455.48,451
24-Oct,ADP,ADPReturnInsuranceService,1,GetVehicleInsuranceReturnCertificate,7674,7667,7,37.178,0.084,0.27,0.52,6814,860,6809,856,16505,1328.98,399
24-Oct,ADP,ADPSmartLicenseBan,1,/Accept,99,99,0,8.589,0.167,0.31,0.54,85,14,85,13,329,253.74,246
24-Oct,ADP,ADPSmartLicenseBan,1,/Perform,39,39,0,3.489,0.3,0.66,0.91,25,14,25,14,301,262.36,259
24-Oct,ADP,ADPSmartLicenseBan,1,/Start,2049,1999,50,24.898,0.085,0.25,0.75,1829,220,1828,171,1015,443.31,194
24-Oct,ADP,ADPSocialServicesRest,1,/PersonProfiles/AddPersonProfile,87,84,3,15.522,0.189,0.33,0.93,79,8,79,5,558,537.79,519
24-Oct,ADP,ADPSocialServicesRest,1,/PersonProfiles/GetPersonProfile,3037,2953,85,321.306,0.084,0.32,0.94,2727,310,2710,243,378,216.53,175
24-Oct,ADP,ADPSocialServicesRest,1,/PsychologicalProblems/AddPsychologicalProblem,25,24,1,13.131,0.337,0.47,1.47,18,7,18,6,884,400.76,260
24-Oct,ADP,ADPSocialServicesRest,1,/SocialProblems/AddSocialProblem,62,62,0,3.365,0.196,0.44,0.55,54,8,54,8,1828,599.68,251
24-Oct,ADP,ADPSocialServicesRest,1,/SocialProblems/UpdateSocialProblemStatus,30,30,0,1.421,0.193,0.31,0.37,28,2,28,2,165,165,165
24-Oct,ADP,ADPSpecialPlate,1,ApprovePlateApp,119,118,1,1.914,0.058,0.22,0.33,113,6,112,6,407,174.97,173
24-Oct,ADP,ADPSpecialPlate,1,AttachDocument,474,474,0,14.332,0.24,0.98,1.68,186,288,186,287,2785590,753094.7,25297
24-Oct,ADP,ADPSpecialPlate,1,CreateNotOwnedPlate,339,339,0,3.879,0.171,0.29,0.46,297,42,297,42,464,341.62,323
24-Oct,ADP,ADPSpecialPlate,1,CreatePlateApp,130,130,0,3.558,0.188,0.3,0.49,113,17,113,17,355,305.98,301
24-Oct,ADP,ADPSpecialPlate,1,GetNotOwnedPlateByAppNo,55,55,0,7.869,0.139,0.18,0.37,53,2,53,2,527,527,527
24-Oct,ADP,ADPSpecialPlate,1,GetNotOwnedPlateByTcfNo,7741,7726,15,35.986,0.059,0.22,0.57,7108,633,7098,628,3022,1350.54,295
24-Oct,ADP,ADPSpecialPlate,1,GetOwnedPlates,8483,8453,30,154.328,0.061,0.22,0.58,7702,781,7691,761,9336,1704.26,299
24-Oct,ADP,ADPSpecialPlate,1,GetPlateServiceFees,977,975,2,38.151,0.084,0.3,0.61,816,161,814,161,1405,1251.62,399
24-Oct,ADP,ADPSpecialPlate,1,PostPlateApp,122,122,0,1.875,0.185,0.29,0.47,103,19,103,19,175,175,175
24-Oct,ADP,ADPSpecialPlate,1,SendOTP,3209,3204,5,59.058,0.085,0.26,0.51,2866,343,2863,341,584,319.13,289
24-Oct,ADP,ADPSpecialPlate,1,VerifyOTP,1646,1646,0,10.67,0.151,0.24,0.43,1489,157,1489,157,346,339.63,335
24-Oct,ADP,ADPTetraDevices,1,/GetCompanyTypes,64,64,0,1.591,0.17,0.27,0.38,60,4,60,4,319,319,319
24-Oct,ADP,ADPTetraDevices,1,/GetServiceDetails,65,62,3,6.395,0.191,0.33,0.63,49,16,46,16,2169,2075.63,146
24-Oct,ADP,ADPTrafficAwareness,1,/Lookups/ActivityLanguages,7,7,0,0.69,0.185,0.42,0.43,7,0,7,0,690,690,690
24-Oct,ADP,ADPTrafficAwareness,1,/Lookups/ActivityTypes,15,8,7,4.868,0.207,0.71,1.29,8,7,5,3,336,248.27,148
24-Oct,ADP,ADPTrafficAwareness,1,/Lookups/AgeGroups,8,7,1,0.99,0.193,0.27,0.45,6,2,5,2,575,521.63,148
24-Oct,ADP,ADPTrafficAwareness,1,/Lookups/GeoAreas,6,6,0,1.431,0.177,0.26,0.57,4,2,4,2,391,391,391
24-Oct,ADP,ADPTrafficAwareness,1,/Lookups/ParticipantNumberCategories,5,5,0,0.337,0.188,0.23,0.24,5,0,5,0,325,325,325
24-Oct,ADP,ADPTrafficAwareness,1,/Lookups/ParticipantTypes,6,6,0,0.538,0.196,0.25,0.33,6,0,6,0,562,562,562
24-Oct,ADP,ADPTrafficAwareness,1,/Lookups/TargetGroups,6,6,0,0.369,0.2,0.25,0.26,6,0,6,0,398,398,398
24-Oct,ADP,ADPTrainingCourses,1,/Lookups/Courses,91,90,1,15.256,0.161,0.44,0.76,78,13,78,12,189,188.73,164
24-Oct,ADP,ADPTrainingCourses,1,/Users/EnableUserRegistration,826,749,77,19.12,0.081,0.33,0.76,709,117,647,101,209,204.8,164
24-Oct,ADP,ADPTrainingCourses,1,/Users/RegisterNewUser,80,57,23,15.273,0.167,0.42,0.73,68,12,48,9,1314,730.5,559
24-Oct,ADP,ADPWeaponsService,1,/UDBRENG/PersonCheckEligibility/CheckEligibility,867,866,1,9.715,0.125,0.18,0.36,799,68,798,68,212,113.17,97
24-Oct,ADP,ADPWeaponsService,1,/UDBRENG/WeaponLicenses/LicenseFiles,610,610,0,14.584,0.132,0.23,0.43,560,50,560,50,18492,1908.75,219
24-Oct,ADP,ADPWeaponsService,1,/UDBRENG/WeaponLookup/Lookups/{lookupName},1970,1966,4,9.727,0.126,0.19,0.34,1846,124,1842,124,3224,1882.46,85
24-Oct,ADP,ADPWeaponsService,1,/UDBRENG/WeaponsLicenseRequests/AddWeaponLicenses,5,5,0,0.9,0.268,0.42,0.51,4,1,4,1,1467,1463.2,1460
24-Oct,ADP,ADPWeaponsService,1,/UDBRENG/WeaponsLicenseRequests/NewWeaponLicenseApprovals,9,9,0,3.285,0.26,0.67,1.01,6,3,6,3,1462,1315.11,1248
24-Oct,ADP,ADPWeaponsService,1,/UDBRENG/WeaponsLicenseRequests/NewWeaponLicenses,12,12,0,3.845,0.36,1.09,1.43,3,9,3,9,1478,1311.92,1230
24-Oct,ADP,ADPWeaponsService,1,/UDBRENG/WeaponsLicenseRequests/OwnershipTransferRequests,4,4,4,0.146,0.111,0.12,0.13,4,0,4,0,1023,955.5,795
24-Oct,ADP,ADPWeaponsService,1,/UDBRENG/WeaponsLicenseRequests/RenewWeaponLicenses,198,198,0,12.913,0.216,0.47,0.73,145,53,145,53,1127,888.3,785
24-Oct,DED,AdvertisingAPI,1,/v1/ATMAd,3,3,0,0.703,0.557,0.64,0.63,3,0,3,0,1142,934.67,817
24-Oct,DED,AdvertisingAPI,1,/v1/AdditionalBoards,20,20,0,0.7,0.304,0.43,0.45,20,0,20,0,1062,887.35,788
24-Oct,DED,AdvertisingAPI,1,/v1/AutomaticPayment,1,1,0,0.659,0.659,0.66,0.66,1,0,1,0,827,827,827
24-Oct,DED,AdvertisingAPI,1,/v1/BannerAdvertisement,6,6,0,0.494,0.301,0.41,0.41,6,0,6,0,772,761.17,759
24-Oct,DED,AdvertisingAPI,1,/v1/CafePermits,18,18,0,0.959,0.35,0.49,0.53,16,2,16,2,669,655.5,641
24-Oct,DED,AdvertisingAPI,1,/v1/Clearance,1,1,0,1.417,1.417,1.42,1.42,0,1,0,1,906,906,906
24-Oct,DED,AdvertisingAPI,1,/v1/Draws,27,27,0,0.851,0.161,0.43,0.47,24,3,24,3,4664,1783.11,1060
24-Oct,DED,AdvertisingAPI,1,/v1/FixedAdvertisingBoard,21,21,0,0.735,0.3,0.44,0.47,21,0,21,0,1139,894.81,772
24-Oct,DED,AdvertisingAPI,1,/v1/FoodSellingAd,10,10,0,1.035,0.464,0.69,0.7,7,3,7,3,1010,961.8,928
24-Oct,DED,AdvertisingAPI,1,/v1/KioskAd,279,279,0,2.539,0.299,0.43,0.5,256,23,256,23,3291,1220.69,950
24-Oct,DED,AdvertisingAPI,1,/v1/Letters/Post,696,696,0,31.647,0.191,8.75,6.94,186,510,186,510,525,432.98,299
24-Oct,DED,AdvertisingAPI,1,/v1/PaperPublishing,23,23,0,0.814,0.313,0.44,0.51,21,2,21,2,1007,952.61,869
24-Oct,DED,AdvertisingAPI,1,/v1/PrizesShowStands,2,2,0,0.534,0.349,0.44,0.44,2,0,2,0,821,806.5,792
24-Oct,DED,AdvertisingAPI,1,/v1/PropagandaAdvertisingBoard,26,26,0,0.999,0.343,0.47,0.5,25,1,25,1,1464,964,855
24-Oct,DED,AdvertisingAPI,1,/v1/Sales,19,19,0,0.83,0.311,0.46,0.51,17,2,17,2,1783,990.74,839
24-Oct,DED,AdvertisingAPI,1,/v1/SeasonalPromotions,307,307,0,2.573,0.292,0.44,0.51,282,25,282,24,15055,1384.56,983
24-Oct,DED,AdvertisingAPI,1,/v1/VehicleAd,401,401,0,3.596,0.29,0.44,0.53,367,34,367,34,3574,1040.47,888
24-Oct,DMT,AgriculturalAndCosmeticPermit,1,/completeWorkSubmit,27,27,2,4.919,0.227,1.21,1.46,2,25,2,25,2762,2231.44,318
24-Oct,DMT,AgriculturalAndCosmeticPermit,1,/confirmCancel,26,26,11,3.321,0.155,0.33,0.45,23,3,23,3,2298,1403.23,218
24-Oct,DMT,AgriculturalAndCosmeticPermit,1,/confirmSubmit,49,49,5,3.932,0.654,1.86,1.89,1,48,1,48,2796,2230.86,345
24-Oct,DMT,AgriculturalAndCosmeticPermit,1,/endPrint,68,68,0,0.901,0.162,0.2,0.27,64,4,64,4,884,860.1,834
24-Oct,DMT,AgriculturalAndCosmeticPermit,1,/getStepInfo,588,588,4,30.653,0.162,0.39,0.99,482,106,482,106,32671,17143.1,218
24-Oct,DMT,AgriculturalAndCosmeticPermit,1,/searchCurrentCustomerProperties,451,451,0,30.486,0.173,0.63,0.84,327,124,327,124,114280,10620.38,245
24-Oct,DMT,AgriculturalAndCosmeticPermit,1,/startWorkflow,127,127,19,7.48,0.195,0.68,0.79,75,52,75,52,2483,2127.25,488
24-Oct,ADEK,ApprovalLetter,1,getApprovalLetterList,2461,2446,19,20.085,0,0.14,0.25,2425,36,2423,23,9101,1288.19,148
24-Oct,DMT,ApproximatePreviewOfPlotLocation,1,/confirmSubmit,394,394,0,7.792,0.248,0.35,0.51,354,40,354,40,2474,2273.08,2192
24-Oct,DMT,ApproximatePreviewOfPlotLocation,1,/getStepInfo,1928,1928,127,50.258,0.111,22.2,17.87,466,1462,466,1462,16750,14703.7,206
24-Oct,DMT,ApproximatePreviewOfPlotLocation,1,/searchCurrentCustomerProperties,851,851,0,26.822,0.139,0.64,1.13,572,279,572,276,77111,12130.39,247
24-Oct,DMT,ApproximatePreviewOfPlotLocation,1,/startWorkflow,403,403,2,17.996,0.272,1.85,1.93,140,263,140,263,2526,2332.01,595
24-Oct,DMT,Assignserviceproviderforproject,1,/applySubmit,11,11,0,8.755,0.335,0.37,1.2,9,2,9,2,2626,2559.91,2378
24-Oct,DMT,Assignserviceproviderforproject,1,/confirmBack,4,4,0,0.297,0.254,0.28,0.28,4,0,4,0,2613,2584,2501
24-Oct,DMT,Assignserviceproviderforproject,1,/confirmCancel,6,6,6,0.75,0.142,0.18,0.27,6,0,6,0,349,273.5,220
